,SIT,Field1,TEXT
0,"During the period of falling in love, each time that we met and á especially when we had not met for a long time.",joy,"Selama periode jatuh cinta, setiap kali kita bertemu dan terutama ketika kita belum bertemu untuk waktu yang lama."
1,When I was involved in a traffic accident.,fear,Ketika saya terlibat dalam kecelakaan lalu lintas.
2,"When I was driving home after  several days of hard work, there á was a motorist ahead of me who was driving at 50 km/hour and á refused, despite his low speeed to let me overtake.",anger,"Ketika saya berkendara pulang setelah kerja keras selama beberapa hari, ada seorang pengendara motor di depan saya yang mengemudi dengan kecepatan 50 km / jam dan á menolak, meskipun ia memiliki kecepatan rendah untuk membiarkan saya menyalip."
3,When I lost the person who meant the most to me. ,sadness,Ketika saya kehilangan orang yang paling berarti bagi saya.
4,"The time I knocked a deer down - the sight of the animal's á injuries and helplessness.  The realization that the animal was á so badly hurt that it had to be put down, and when the animal á screamed at the moment of death.",disgust,"Waktu saya menjatuhkan rusa - melihat luka dan ketidakberdayaan hewan itu. Kesadaran bahwa binatang itu sangat terluka sehingga harus dijatuhkan, dan ketika binatang itu berteriak pada saat kematian."
5,When I did not speak the truth.,shame,Ketika saya tidak berbicara kebenaran.
6,When I caused problems for somebody because he could not keep the á appointed time and this led to various consequences.,guilt,Ketika saya menyebabkan masalah bagi seseorang karena dia tidak bisa menjaga waktu yang ditentukan dan ini menyebabkan berbagai konsekuensi.
7,When I got a letter offering me the Summer job that I had applied á for.  ,joy,Ketika saya mendapat surat yang menawarkan pekerjaan musim panas yang telah saya lamar.
8,When I was going home alone one night in Paris and a man came up á behind me and asked me if I was not afraid to be out alone so á late at night.,fear,Ketika saya pulang sendirian suatu malam di Paris dan seorang pria datang á di belakang saya dan bertanya apakah saya tidak takut keluar sendirian begitu larut malam.
9,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,anger,Ketika saya berbicara dengan HIM di sebuah pesta untuk pertama kalinya dalam waktu yang lama dan seorang teman datang dan mengganggu kami dan DIA pergi.
10,When my friends did not ask me to go to a New Year's party á with them.,sadness,Ketika teman-teman saya tidak meminta saya untuk pergi ke pesta Tahun Baru á bersama mereka.
11,When I saw all the very drunk kids (13-14 years old) in town on á Walpurgis night.,disgust,Ketika saya melihat semua anak-anak yang sangat mabuk (13-14 tahun) di kota pada malam Walpurgis.
12,When I could not remember what to say about a presentation task á at an accounts meeting.,shame,Ketika saya tidak bisa mengingat apa yang harus saya katakan tentang tugas presentasi á di rapat akun.
13,When my uncle and my neighbour came home under police escort.,guilt,Ketika paman dan tetangga saya pulang ke rumah di bawah pengawalan polisi.
14,[ On days when I feel close to my partner and other friends.  á When I feel at peace with myself and also experience a close á contact with people whom I regard greatly.],joy,[Pada hari-hari ketika saya merasa dekat dengan pasangan saya dan teman-teman lain. á Ketika saya merasa damai dengan diri saya sendiri dan juga mengalami hubungan yang dekat á dengan orang-orang yang sangat saya hormati.]
15,"Every time I imagine that someone I love or I could contact a á serious illness, even death.",fear,"Setiap kali saya membayangkan seseorang yang saya cintai atau saya dapat menghubungi penyakit serius, bahkan kematian."
16,When I had been obviously unjustly treated and had no possibility á of elucidating this.,anger,Ketika saya jelas telah diperlakukan tidak adil dan tidak memiliki kemungkinan á untuk menjelaskan ini.
17,When I think about the short time that we live and relate it to á the periods of my life when I think that I did not use this á short time.,sadness,Ketika saya berpikir tentang waktu singkat yang kita jalani dan menghubungkannya dengan masa hidup saya ketika saya berpikir bahwa saya tidak menggunakan waktu singkat ini.
18,At a gathering I found myself involuntarily sitting next to two á people who expressed opinions that I considered very low and á discriminating.,disgust,Pada sebuah pertemuan saya menemukan diri saya tanpa sadar duduk di sebelah dua orang yang mengatakan pendapat yang saya anggap sangat rendah dan diskriminatif.
19,When I realized that I was directing the feelings of discontent á with myself at my partner and this way was trying to put the blame á on him instead of sorting out my own feeliings.,shame,Ketika saya menyadari bahwa saya mengarahkan perasaan tidak puas á kepada diri saya sendiri pada pasangan saya dan cara ini mencoba menyalahkannya á alih-alih memilah perasaan saya sendiri.
20,I feel guilty when when I realize that I consider material things á more important than caring for my relatives.  I feel very á self-centered.,guilt,Saya merasa bersalah ketika ketika saya menyadari bahwa saya menganggap hal-hal materi á lebih penting daripada merawat kerabat saya. Saya merasa sangat egois.
21,After my girlfriend had taken her exam we went to her parent's á place.,joy,"Setelah pacar saya mengambil ujian, kami pergi ke tempat orang tuanya."
