,TEXT,LABEL
0,"selama periode jatuh cinta, kali bertemu terutama kita bertemu waktu lama.",joy
1,saya terlibat kecelakaan lalu lintas.,fear
2,"berkendara pulang kerja keras selama beberapa hari, seorang pengendara motor depan yang mengemudi kecepatan 50 km / jam á menolak, meskipun memiliki kecepatan rendah membiarkan saya menyalip.",anger
3,saya kehilangan orang paling berarti saya.,sadness
4,"waktu menjatuhkan rusa - melihat luka ketidakberdayaan hewan itu. kesadaran binatang sangat terluka harus dijatuhkan, ketika binatang berteriak saat kematian.",disgust
5,saya berbicara kebenaran.,shame
6,saya menyebabkan masalah seseorang dia bisa menjaga waktu ditentukan ini menyebabkan berbagai konsekuensi.,guilt
7,mendapat surat menawarkan pekerjaan musim panas telah saya lamar.,joy
8,pulang sendirian suatu malam paris seorang pria datang á belakang saya dan bertanya saya takut keluar sendirian larut malam.,fear
9,saya berbicara him sebuah pesta pertama kalinya waktu lama seorang teman datang mengganggu dan pergi.,anger
10,teman-teman tidak meminta untuk pergi pesta tahun baru á bersama mereka.,sadness
11,saya melihat semua anak-anak sangat mabuk (13-14 tahun) kota malam walpurgis.,disgust
12,bisa mengingat apa harus saya katakan tugas presentasi á rapat akun.,shame
13,paman tetangga pulang rumah bawah pengawalan polisi.,guilt
14,"setiap kali saya membayangkan seseorang yang saya cintai atau saya dapat menghubungi penyakit serius, bahkan kematian.",fear
15,ketika saya jelas telah diperlakukan tidak adil dan tidak memiliki kemungkinan á untuk menjelaskan ini.,anger
16,ketika saya berpikir tentang waktu singkat yang kita jalani dan menghubungkannya dengan masa hidup saya ketika saya berpikir bahwa saya tidak menggunakan waktu singkat ini.,sadness
17,pada sebuah pertemuan saya menemukan diri saya tanpa sadar duduk di sebelah dua orang yang mengatakan pendapat yang saya anggap sangat rendah dan diskriminatif.,disgust
18,ketika saya menyadari bahwa saya mengarahkan perasaan tidak puas á kepada diri saya sendiri pada pasangan saya dan cara ini mencoba menyalahkannya á alih-alih memilah perasaan saya sendiri.,shame
19,saya merasa bersalah ketika ketika saya menyadari bahwa saya menganggap hal-hal materi á lebih penting daripada merawat kerabat saya. saya merasa sangat egois.,guilt
20,"setelah pacar saya mengambil ujian, kami pergi ke tempat orang tuanya.",joy
21,"ketika, untuk pertama kalinya saya menyadari arti kematian.",fear
22,ketika sebuah mobil menyalip mobil lain dan saya dipaksa untuk berkendara keluar dari jalan.,anger
23,"ketika saya baru-baru ini memikirkan kerja keras yang diperlukan untuk belajar, dan bagaimana seseorang ingin mencoba sesuatu yang lain. ketika saya membaca buku teori dalam bahasa inggris yang saya tidak mengerti.",sadness
24,ketika saya menemukan bulu di tabung pasta hati.,disgust
25,"ketika saya lelah dan tidak termotivasi, saya berteriak pada pacar saya dan á dan mengemukakan sisi negatif dari karakternya yang sebenarnya á tidak begitu penting.",shame
26,ketika saya berpikir bahwa saya tidak cukup belajar. setelah akhir pekan saya berpikir bahwa saya seharusnya bisa menyelesaikan sesuatu selama waktu itu.,guilt
27,ketika saya lulus ujian yang saya pikir tidak berhasil.,joy
28,"ketika seseorang telah mengatur untuk bertemu seseorang dan orang itu datang terlambat, sementara itu orang mulai berpikir tentang semua yang bisa salah telah terjadi misalnya kecelakaan lalu lintas.",fear
29,ketika seseorang dituduh secara tidak adil atas sesuatu yang belum dilakukan.,anger
30,ketika studi seseorang tampak sangat sulit dan tidak menarik.,sadness
31,"ketika seseorang mengetahui bahwa seseorang yang anda kenal sama sekali tidak seperti yang pernah dipikirkan, misalnya teman-teman yang mencuri dan hal-hal seperti itu, á sangat tidak beralasan.",disgust
32,"ketika seseorang tidak adil, bodoh terhadap orang lain.",shame
33,ketika seseorang telah mengabaikan atau tidak adil kepada seorang teman baik.,guilt
34,lulus ujian saya tidak berharap lulus.,joy
35,ketika saya memanjat pohon untuk memetik apel. sudut tangga á saya berada di tidak memungkinkan saya untuk mendapatkan cukup tinggi. ini menyiratkan á bahwa tangga itu tidak terlalu stabil.,fear
36,teman yang menyiksa binatang.,anger
37,ketika saya memiliki anak-anak saya.,joy
38,ketika putra saya yang berusia 2 tahun memanjat dan duduk di balkon lantai 7 dengan kakinya yang menggantung. dia memegang erat-erat ke pagar atas balkon tapi dia bisa dengan mudah kehilangan keseimbangan saat dia duduk.,fear
39,ketika pasangan saya diserang dan kehilangan tiga gigi.,anger
40,ketika saya melihat anak-anak di t.v dari daerah yang hancur oleh kekeringan dan perang.,sadness
41,ketika saya hampir berjalan di atas cacing gelang dan kemudian melihatnya merangkak pergi.,disgust
42,ketika saya melihat putra saya yang berusia 18 tahun mengambil masker oksigen karena ia mengalami kesulitan bernapas. saya memiliki hati nurani yang buruk karena saya belum berhenti merokok. obat untuk pelebaran saluran pernapasannya juga menyebabkan rasa bersalah pada saya.,shame
43,"saya mengalami rasa bersalah karena putra saya yang tengah tidak bisa mengekspresikan dirinya seperti anak-anak lain, baik secara lisan maupun tulisan.",guilt
44,ketika anak saya lahir.,joy
45,"saat itu musim dingin / musim semi dan es mencair. saya berada jauh di dermaga dan saya menyodok es dengan cabang panjang untuk mencoba memecahkannya. á cabang pergi melalui es dan aku jatuh, air menutup á di atas kepalaku.",fear
46,"tuduhan tidak adil diarahkan pada saya dan cara bertindak saya, oleh seseorang yang dekat dengan saya.",anger
47,gagal ujian.,sadness
48,"seorang pemabuk jatuh, mulai berdarah dan membasahi dirinya sendiri. jijik bahwa á berubah menjadi kesedihan-ketidaknyamanan.",disgust
49,"ketika, sebagai orang dewasa saya kedapatan berbohong atau berperilaku buruk.",shame
50,"ketika saya berada di lingkungan atau dengan seseorang yang jauh lebih buruk daripada saya, saya menyadari betapa istimewanya saya.",guilt
