,TEXT,LABEL
0,lama periode jatuh cinta kali temu utama kita temu waktu lama,joy
1,saya libat celaka lalu lintas,fear
2,kendara pulang kerja keras lama beberapa hari orang kendara motor depan yang kemudi cepat 50 km jam tolak meski milik cepat rendah biar saya salip,anger
3,saya hilang orang paling arti saya,sadness
4,waktu jatuh rusa - lihat luka ketidakberdayaan hewan itu sadar binatang sangat luka harus jatuh ketika binatang teriak saat mati,disgust
5,saya bicara benar,shame
6,saya sebab masalah orang dia bisa jaga waktu tentu ini sebab bagai konsekuensi,guilt
7,dapat surat tawar kerja musim panas telah saya lamar,joy
8,pulang sendiri suatu malam paris orang pria datang belakang saya dan tanya saya takut keluar sendiri larut malam,fear
9,saya bicara him buah pesta pertama kali waktu lama orang teman datang ganggu dan pergi,anger
10,teman tidak minta untuk pergi pesta tahun baru sama mereka,sadness
11,saya lihat semua anak sangat mabuk 13-14 tahun kota malam walpurgis,disgust
12,bisa ingat apa harus saya kata tugas presentasi rapat akun,shame
13,paman tetangga pulang rumah bawah awal polisi,guilt
15,"setiap kali saya membayangkan seseorang yang saya cintai atau saya dapat menghubungi penyakit serius, bahkan kematian.",fear
16,ketika saya jelas telah diperlakukan tidak adil dan tidak memiliki kemungkinan á untuk menjelaskan ini.,anger
17,ketika saya berpikir tentang waktu singkat yang kita jalani dan menghubungkannya dengan masa hidup saya ketika saya berpikir bahwa saya tidak menggunakan waktu singkat ini.,sadness
18,pada sebuah pertemuan saya menemukan diri saya tanpa sadar duduk di sebelah dua orang yang mengatakan pendapat yang saya anggap sangat rendah dan diskriminatif.,disgust
19,ketika saya menyadari bahwa saya mengarahkan perasaan tidak puas á kepada diri saya sendiri pada pasangan saya dan cara ini mencoba menyalahkannya á alih-alih memilah perasaan saya sendiri.,shame
20,saya merasa bersalah ketika ketika saya menyadari bahwa saya menganggap hal-hal materi á lebih penting daripada merawat kerabat saya. saya merasa sangat egois.,guilt
21,"setelah pacar saya mengambil ujian, kami pergi ke tempat orang tuanya.",joy
22,"ketika, untuk pertama kalinya saya menyadari arti kematian.",fear
23,ketika sebuah mobil menyalip mobil lain dan saya dipaksa untuk berkendara keluar dari jalan.,anger
24,"ketika saya baru-baru ini memikirkan kerja keras yang diperlukan untuk belajar, dan bagaimana seseorang ingin mencoba sesuatu yang lain. ketika saya membaca buku teori dalam bahasa inggris yang saya tidak mengerti.",sadness
25,ketika saya menemukan bulu di tabung pasta hati.,disgust
26,"ketika saya lelah dan tidak termotivasi, saya berteriak pada pacar saya dan á dan mengemukakan sisi negatif dari karakternya yang sebenarnya á tidak begitu penting.",shame
27,ketika saya berpikir bahwa saya tidak cukup belajar. setelah akhir pekan saya berpikir bahwa saya seharusnya bisa menyelesaikan sesuatu selama waktu itu.,guilt
28,ketika saya lulus ujian yang saya pikir tidak berhasil.,joy
29,"ketika seseorang telah mengatur untuk bertemu seseorang dan orang itu datang terlambat, sementara itu orang mulai berpikir tentang semua yang bisa salah telah terjadi misalnya kecelakaan lalu lintas.",fear
30,ketika seseorang dituduh secara tidak adil atas sesuatu yang belum dilakukan.,anger
31,ketika studi seseorang tampak sangat sulit dan tidak menarik.,sadness
